ticker,name,market
452400.KS,이닉스,코스피
105760.KS,포스뱅크,코스피
460930.KS,현대힘스,코스피
440290.KS,HB인베스트먼트,코스피
362990.KS,드림인사이트,코스피
471050.KS,대신밸런스제17호스팩,코스피
457550.KS,우진엔텍,코스피
267080.KS,세븐브로이맥주,코스피
452190.KS,한빛레이저,코스피
467930.KS,IBKS제23호스팩,코스피
469880.KS,하나30호스팩,코스피
109670.KS,씨싸이트,코스피
439580.KS,블루엠텍,코스피
417200.KS,LS머트리얼즈,코스피
432470.KS,케이엔에스,코스피
465320.KS,교보15호스팩,코스피
338840.KS,와이바이오로직스,코스피
355690.KS,에이텀,코스피
466910.KS,엔에이치스팩30호,코스피
453860.KS,에이에스텍,코스피
402490.KS,그린리소스,코스피
452160.KS,제이엔비,코스피
452280.KS,한선엔지니어링,코스피
111380.KS,동인기연,코스피
448280.KS,에코아이,코스피
352090.KS,스톰테크,코스피
450080.KS,에코프로머티,코스피
452300.KS,캡스톤파트너스,코스피
296160.KS,프로젠,코스피
365330.KS,에스와이스틸텍,코스피
445090.KS,에이직랜드,코스피
464440.KS,한국제13호스팩,코스피
446540.KS,메가터치,코스피
413640.KS,비아이매트릭스,코스피
451760.KS,컨텍,코스피
372320.KS,큐로셀,코스피
464680.KS,KB제27호스팩,코스피
188260.KS,세니젠,코스피
290560.KS,신시웨이,코스피
240600.KS,유진테크놀로지,코스피
221800.KS,유투바이오,코스피
432720.KS,퀄리타스반도체,코스피
351020.KS,미쥬,코스피
396470.KS,워트,코스피
246250.KS,에스엘에스바이오,코스피
416180.KS,신성에스티,코스피
445180.KS,퓨릿,코스피
289170.KS,바이오텐,코스피
462020.KS,에이치엠씨제6호스팩,코스피
451220.KS,아이엠티,코스피
443250.KS,레뷰코퍼레이션,코스피
454910.KS,두산로보틱스,코스피
452980.KS,신한제11호스팩,코스피
430690.KS,한싹,코스피
418470.KS,KT밀리의서재,코스피
450520.KS,인스웨이브,코스피
403490.KS,우듬지팜,코스피
384470.KS,코어라인소프트,코스피
465770.KS,STX그린로지스,코스피
452670.KS,상상인제4호스팩,코스피
146060.KS,율촌,코스피
455310.KS,한화플러스제4호스팩,코스피
457630.KS,대신밸런스제16호스팩,코스피
444920.KS,유안타제11호스팩,코스피
355390.KS,크라우드웍스,코스피
458610.KS,한국제12호스팩,코스피
418250.KS,시큐레터,코스피
424960.KS,스마트레이더시스템,코스피
210120.KS,캔버스엔,코스피
457940.KS,SK증권제10호스팩,코스피
448710.KS,코츠테크놀로지,코스피
445680.KS,큐리옥스바이오시스템즈,코스피
454750.KS,하나28호스팩,코스피
440110.KS,파두,코스피
373170.KS,엠아이큐브솔루션,코스피
429270.KS,시지트로닉스,코스피
446440.KS,에피바이오텍,코스피
462520.KS,조선내화,코스피
172670.KS,에이엘티,코스피
450940.KS,유안타제14호스팩,코스피
388870.KS,파로스아이바이오,코스피
456700.KS,길교이앤씨,코스피
438700.KS,버넥트,코스피
406820.KS,뷰티스킨,코스피
455910.KS,SK증권제9호스팩,코스피
432430.KS,와이랩,코스피
321370.KS,센서뷰,코스피
456570.KS,아이엠지티,코스피
378340.KS,필에너지,코스피
456490.KS,교보14호스팩,코스피
274400.KS,이노시뮬레이션,코스피
354320.KS,알멕,코스피
440320.KS,오픈놀,코스피
232830.KS,아이티센피엔에스,코스피
454640.KS,하나29호스팩,코스피
455250.KS,KB제25호스팩,코스피
451700.KS,엔에이치스팩29호,코스피
450050.KS,하이제8호스팩,코스피
296520.KS,가이아코퍼레이션,코스피
460850.KS,동국씨엠,코스피
460860.KS,동국제강,코스피
303360.KS,프로티아,코스피
348080.KS,큐라티스,코스피
439090.KS,마녀공장,코스피
405920.KS,나라셀라,코스피
285800.KS,진영,코스피
457190.KS,이수스페셜티케미컬,코스피
456040.KS,OCI,코스피
420770.KS,기가비스,코스피
271830.KS,팸텍,코스피
434480.KS,모니터랩,코스피
340810.KS,시선AI,코스피
456190.KS,큐라켐,코스피
446840.KS,키움제8호스팩,코스피
417790.KS,트루엔,코스피
304360.KS,에스바이오메딕스,코스피
298830.KS,슈어소프트테크,코스피
393210.KS,토마토시스템,코스피
424980.KS,마이크로투나노,코스피
318160.KS,셀바이오휴먼텍,코스피
100090.KS,SK오션플랜트,코스피
448730.KS,삼성FN리츠,코스피
453340.KS,현대그린푸드,코스피
448830.KS,미래에셋비전스팩3호,코스피
448760.KS,IBKS제22호스팩,코스피
448370.KS,하나27호스팩,코스피
452260.KS,한화갤러리아,코스피
358570.KS,지아이이노베이션,코스피
309960.KS,LB인베스트먼트,코스피
451800.KS,한화리츠,코스피
446150.KS,유안타제12호스팩,코스피
356680.KS,엑스게이트,코스피
442900.KS,미래에셋드림스팩1호,코스피
282720.KS,금양그린파워,코스피
418420.KS,라온텍,코스피
389020.KS,자람테크놀로지,코스피
446750.KS,하나26호스팩,코스피
417010.KS,나노팀,코스피
199730.KS,바이오인프라,코스피
448740.KS,삼성스팩8호,코스피
449020.KS,유안타제13호스팩,코스피
446190.KS,미래에셋비전스팩2호,코스피
344860.KS,이노진,코스피
127980.KS,화인써키트,코스피
418550.KS,제이오,코스피
411080.KS,샌즈랩,코스피
407400.KS,꿈비,코스피
408900.KS,스튜디오미르,코스피
419050.KS,삼기에너지솔루션즈,코스피
450140.KS,코오롱모빌리티그룹,코스피
417860.KS,오브젠,코스피
254490.KS,미래반도체,코스피
289860.KS,지슨,코스피
425040.KS,티이엠씨,코스피
198940.KS,한주라이트메탈,코스피
380540.KS,옵티코어,코스피
447690.KS,아이오바이오,코스피
346010.KS,타이드,코스피
445970.KS,신영스팩9호,코스피
162300.KS,신스틸,코스피
377740.KS,바이오노트,코스피
445360.KS,비엔케이제1호스팩,코스피
448780.KS,마이크로엔엑스,코스피
390110.KS,애니메디솔루션,코스피
442770.KS,IBKS제21호스팩,코스피
440820.KS,엔에이치스팩27호,코스피
417180.KS,핑거스토리,코스피
419530.KS,SAMG엔터,코스피
102950.KS,아하,코스피
311960.KS,인터로이드,코스피
446070.KS,유니드비티플러스,코스피
168360.KS,펨트론,코스피
389470.KS,인벤티지랩,코스피
419080.KS,엔젯,코스피
204610.KS,티쓰리,코스피
425420.KS,티에프이,코스피
372170.KS,윤성에프앤씨,코스피
383930.KS,디티앤씨알오,코스피
348340.KS,뉴로메카,코스피
417500.KS,제이아이테크,코스피
108320.KS,LX세미콘,코스피
405100.KS,큐알티,코스피
417840.KS,저스템,코스피
419120.KS,산돌,코스피
434190.KS,탈로스,코스피
405000.KS,플라즈맵,코스피
291810.KS,핀텔,코스피
378800.KS,샤페론,코스피
419540.KS,비스토스,코스피
360070.KS,탑머티리얼,코스피
389500.KS,에스비비테크,코스피
368970.KS,오에스피,코스피
417970.KS,모델솔루션,코스피
296640.KS,이노룰스,코스피
441270.KS,파인엠텍,코스피
432320.KS,KB스타리츠,코스피
393890.KS,더블유씨피,코스피
314140.KS,알피바이오,코스피
413300.KS,티엘엔지니어링,코스피
394280.KS,오픈엣지테크놀로지,코스피
430220.KS,신영스팩8호,코스피
129920.KS,대성하이텍,코스피
403550.KS,쏘카,코스피
148930.KS,에이치와이티씨,코스피
107600.KS,새빗켐,코스피
126720.KS,수산인더스트리,코스피
368600.KS,아이씨에이치,코스피
365340.KS,성일하이텍,코스피
397030.KS,에이프릴바이오,코스피
341170.KS,퓨쳐메디신,코스피
424760.KS,벨로크,코스피
328130.KS,루닛,코스피
354390.KS,바스칸바이오제약,코스피
403870.KS,HPSP,코스피
112290.KS,와이씨켐,코스피
402030.KS,코난테크놀로지,코스피
396270.KS,넥스트칩,코스피
412350.KS,레이저쎌,코스피
310210.KS,보로노이,코스피
377460.KS,위니아에이드,코스피
148780.KS,비큐AI,코스피
382900.KS,범한퓨얼셀,코스피
176590.KS,코나솔,코스피
362320.KS,청담글로벌,코스피
357430.KS,마스턴프리미어리츠,코스피
399720.KS,가온칩스,코스피
389260.KS,대명에너지,코스피
389140.KS,포바이포,코스피
388050.KS,지투파워,코스피
413630.KS,씨피시스템,코스피
417310.KS,코람코더원리츠,코스피
396300.KS,세아메카닉스,코스피
366030.KS,공구우먼,코스피
388720.KS,유일로보틱스,코스피
288980.KS,모아데이타,코스피
408920.KS,메쎄이상,코스피
376930.KS,노을,코스피
146320.KS,비씨엔씨,코스피
371950.KS,풍원정밀,코스피
330730.KS,스톤브릿지벤처스,코스피
365900.KS,브이씨,코스피
370090.KS,퓨런티어,코스피
251120.KS,바이오에프디엔씨,코스피
211050.KS,인카금융서비스,코스피
137080.KS,나래나노텍,코스피
136410.KS,아셈스,코스피
276040.KS,스코넥,코스피
377330.KS,이지트로닉스,코스피
373220.KS,LG에너지솔루션,코스피
179530.KS,애드바이오텍,코스피
102370.KS,케이옥션,코스피
169670.KS,코스텍시스템,코스피
353590.KS,오토앤,코스피
200350.KS,아티스트스튜디오,코스피
403360.KS,라피치,코스피
254160.KS,제이엠멀티,코스피
404990.KS,신한서부티엔디리츠,코스피
199800.KS,툴젠,코스피
396690.KS,미래에셋글로벌리츠,코스피
402420.KS,켈스,코스피
402340.KS,SK스퀘어,코스피
377480.KS,마음AI,코스피
361570.KS,알비더블유,코스피
400760.KS,NH올원리츠,코스피
222160.KS,NPX,코스피
290090.KS,트윔,코스피
372800.KS,아이티아이즈,코스피
311320.KS,지오엘리먼트,코스피
357880.KS,SKAI,코스피
376300.KS,디어유,코스피
389030.KS,지니너스,코스피
377300.KS,카카오페이,코스피
376180.KS,피코그램,코스피
348370.KS,엔켐,코스피
377450.KS,리파인,코스피
382800.KS,지앤비에스 에코,코스피
114840.KS,아이패밀리에스씨,코스피
261780.KS,차백신연구소,코스피
382480.KS,지아이텍,코스피
391710.KS,코닉오토메이션,코스피
381970.KS,케이카,코스피
376290.KS,씨유테크,코스피
159010.KS,아스플로,코스피
382840.KS,원준,코스피
257720.KS,실리콘투,코스피
260970.KS,에스앤디,코스피
377220.KS,프롬바이오,코스피
329180.KS,HD현대중공업,코스피
395400.KS,SK리츠,코스피
273640.KS,와이엠텍,코스피
203400.KS,에이비온,코스피
388790.KS,라이콤,코스피
271940.KS,일진하이솔루스,코스피
377190.KS,디앤디플랫폼리츠,코스피
308080.KS,바이젠셀,코스피
139990.KS,아주스틸,코스피
315640.KS,딥노이드,코스피
372910.KS,한컴라이프케어,코스피
367000.KS,플래티어,코스피
376980.KS,원티드랩,코스피
259960.KS,크래프톤,코스피
195940.KS,HK이노엔,코스피
178920.KS,PI첨단소재,코스피
323410.KS,카카오뱅크,코스피
270660.KS,에브리봇,코스피
377030.KS,비트맥스,코스피
365270.KS,큐라클,코스피
137310.KS,에스디바이오센서,코스피
352910.KS,오비고,코스피
357580.KS,아모센스,코스피
318660.KS,타임기술,코스피
303530.KS,이노뎁,코스피
232680.KS,라온테크,코스피
379390.KS,이성씨엔아이,코스피
187660.KS,현대ADM,코스피
383310.KS,에코프로에이치엔,코스피
383800.KS,LX홀딩스,코스피
363250.KS,진시스템,코스피
276730.KS,한울앤제주,코스피
383220.KS,F&F,코스피
361670.KS,삼영에스앤씨,코스피
252990.KS,샘씨엔에스,코스피
352480.KS,씨앤씨인터내셔널,코스피
357230.KS,에이치피오,코스피
361610.KS,SK아이이테크놀로지,코스피
294570.KS,쿠콘,코스피
